zip_code,etl_timestamp,NEG,POS
19140,2023-02-27 16:00:01,124301,12896
19173,2023-02-27 16:00:01,6,NA
19127,2023-02-27 16:00:01,16337,1399
19195,2023-02-27 16:00:01,15,NA
19159,2023-02-27 16:00:01,6,NA
19175,2023-02-27 16:00:01,6,NA
19133,2023-02-27 16:00:01,60342,6665
19158,2023-02-27 16:00:01,14,NA
19146,2023-02-27 16:00:01,153737,9881
19138,2023-02-27 16:00:01,81004,7788
19152,2023-02-27 16:00:01,82024,10026
19110,2023-02-27 16:00:01,150,14
19188,2023-02-27 16:00:01,14,NA
19115,2023-02-27 16:00:01,83270,10054
19144,2023-02-27 16:00:01,120966,10239
19141,2023-02-27 16:00:01,76978,7267
19145,2023-02-27 16:00:01,126184,12306
19150,2023-02-27 16:00:01,62579,5789
19155,2023-02-27 16:00:01,101,6
19117,2023-02-27 16:00:01,10,NA
19125,2023-02-27 16:00:01,75685,5786
19163,2023-02-27 16:00:01,6,NA
19124,2023-02-27 16:00:01,144979,17926
19190,2023-02-27 16:00:01,33,NA
19108,2023-02-27 16:00:01,195,39
19142,2023-02-27 16:00:01,66398,7150
19131,2023-02-27 16:00:01,128527,10865
19176,2023-02-27 16:00:01,95,8
19122,2023-02-27 16:00:01,77233,6392
19130,2023-02-27 16:00:01,106012,5975
19147,2023-02-27 16:00:01,116126,7922
19148,2023-02-27 16:00:01,130552,12502
19123,2023-02-27 16:00:01,56436,4471
19136,2023-02-27 16:00:01,182398,13708
19139,2023-02-27 16:00:01,132236,11648
19105,2023-02-27 16:00:01,536,53
19118,2023-02-27 16:00:01,25252,1830
19100,2023-02-27 16:00:01,190,18
19137,2023-02-27 16:00:01,17814,1953
19153,2023-02-27 16:00:01,28449,3055
19161,2023-02-27 16:00:01,60,NA
19107,2023-02-27 16:00:01,46196,4058
19102,2023-02-27 16:00:01,27330,1477
19151,2023-02-27 16:00:01,79790,8075
19149,2023-02-27 16:00:01,97236,12703
19129,2023-02-27 16:00:01,34656,2388
19128,2023-02-27 16:00:01,93448,8163
19182,2023-02-27 16:00:01,29,NA
19132,2023-02-27 16:00:01,91519,7870
19154,2023-02-27 16:00:01,91532,9280
19121,2023-02-27 16:00:01,98644,8779
19134,2023-02-27 16:00:01,128771,13963
19172,2023-02-27 16:00:01,17,NA
19119,2023-02-27 16:00:01,84151,5966
19135,2023-02-27 16:00:01,69052,8752
19116,2023-02-27 16:00:01,77622,9886
19126,2023-02-27 16:00:01,44527,4540
19160,2023-02-27 16:00:01,213,15
19113,2023-02-27 16:00:01,157,NA
19104,2023-02-27 16:00:01,537817,16136
19101,2023-02-27 16:00:01,1253,169
19114,2023-02-27 16:00:01,67847,8184
19103,2023-02-27 16:00:01,122682,5603
19194,2023-02-27 16:00:01,56,NA
19179,2023-02-27 16:00:01,11,NA
19109,2023-02-27 16:00:01,90,6
19191,2023-02-27 16:00:01,37,NA
19183,2023-02-27 16:00:01,24,NA
19111,2023-02-27 16:00:01,145507,16696
19156,2023-02-27 16:00:01,13,NA
19164,2023-02-27 16:00:01,12,NA
19170,2023-02-27 16:00:01,26,7
19171,2023-02-27 16:00:01,26,NA
19106,2023-02-27 16:00:01,40747,2903
19178,2023-02-27 16:00:01,13,NA
19177,2023-02-27 16:00:01,6,NA
19193,2023-02-27 16:00:01,30,NA
19197,2023-02-27 16:00:01,20,NA
19192,2023-02-27 16:00:01,23,NA
19162,2023-02-27 16:00:01,21,NA
19184,2023-02-27 16:00:01,37,NA
19120,2023-02-27 16:00:01,142284,15984
19143,2023-02-27 16:00:01,204490,16162
19199,2023-02-27 16:00:01,21,NA
19196,2023-02-27 16:00:01,17,NA
19174,2023-02-27 16:00:01,6,NA
19181,2023-02-27 16:00:01,20,NA
19157,2023-02-27 16:00:01,9,NA
